Title,IMDb ID
Ant-Man and the Wasp,tt5095030
How to Train Your Dragon 2,tt1646971
Logan,tt3315342
The Lost World: Jurassic Park,tt0119567
Casino Royale,tt0381061
The Wandering Earth II,tt13539646
The Passion of the Christ,tt0335345
Mamma Mia!,tt0795421
Life of Pi,tt0454876
Ready Player One,tt1677720
Transformers: The Last Knight,tt3371366
Madagascar: Escape 2 Africa,tt0479952
War of the Worlds,tt0407304
Tangled,tt0398286
Quantum of Solace,tt0830515
Men in Black,tt0119654
The Croods,tt0481499
The Hangover Part II,tt1411697
Iron Man,tt0371746
I Am Legend,tt0480249
"Monsters, Inc.",tt0198781
Operation Red Sea,tt6878882
Night at the Museum,tt0477347
Godzilla x Kong: The New Empire,tt14539740
Mission: Impossible - Dead Reckoning Part One,tt9603212
Fifty Shades of Grey,tt2322441
The Little Mermaid,tt5971474
Kong: Skull Island,tt3731562
The Smurfs,tt0472181
Cars 2,tt1216475
King Kong,tt0360717
Puss in Boots,tt0448694
The Mermaid,tt4701660
Armageddon,tt0120591
The Day After Tomorrow,tt0319262
Star Wars: Episode V - The Empire Strikes Back,tt0080684
Ted,tt1637725
Kung Fu Panda 4,tt21692408
American Sniper,tt2179136
Mission: Impossible II,tt0120755
Detective Chinatown 2,tt7752454
Despicable Me,tt1323594
X-Men: Apocalypse,tt3385516
Sherlock Holmes: A Game of Shadows,tt1515091
Cinderella,tt1661199
Madagascar,tt0351283
Hotel Transylvania 3: Summer Vacation,tt5220122
World War Z,tt0816711
How to Train Your Dragon: The Hidden World,tt2386490
The Grinch,tt2709692
Brave,tt1217209
The Simpsons Movie,tt0462538
Dunkirk,tt5013056
The Revenant,tt1663202
No More Bets,tt28076784
The Meg,tt4779682
Ralph Breaks the Internet,tt5848272
The Boss Baby,tt3874544
WALL·E,tt0910970
Godzilla,tt0831387
Sherlock Holmes,tt0988045
Meet the Fockers,tt0290002
Kung Fu Panda 3,tt2267968
Ant-Man,tt0478970
Terminator 2: Judgment Day,tt0103064
La La Land,tt3783958
Venom: Let There Be Carnage,tt7097896
Ghost,tt0099653
Aladdin,tt0103639
Rio 2,tt2357291
Troy,tt0332452
Toy Story 2,tt0120363
Elemental,tt15789038
How to Train Your Dragon,tt0892769
Twister,tt0117998
Oz the Great and Powerful,tt1623205
Clash of the Titans,tt0800320
Maleficent: Mistress of Evil,tt4777008
War for the Planet of the Apes,tt3450958
Shrek,tt0126029
Lost in the Stars,tt17507018
Mr. & Mrs. Smith,tt0356910
Angels & Demons,tt0808151
Teenage Mutant Ninja Turtles,tt1291150
Bruce Almighty,tt0315327
Sonic the Hedgehog 3,tt18259086
Rio,tt1436562
Star Wars: Episode VI - Return of the Jedi,tt0086190
Saving Private Ryan,tt0120815
Rise of the Planet of the Apes,tt1318514
Puss in Boots: The Last Wish,tt3915174
Venom: The Last Dance,tt16366836
Jaws,tt0073195
Home Alone,tt0099785
Ant-Man and the Wasp: Quantumania,tt10954600
Hotel Transylvania 2,tt2510894
Charlie and the Chocolate Factory,tt0367594
San Andreas,tt2126355
Indiana Jones and the Last Crusade,tt0097576
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,tt11032374
It Chapter Two,tt7349950
The King's Speech,tt1504320
Wreck-It Ralph,tt1772341
The Lego Movie,tt1490017
Godzilla vs. Kong,tt5034838
The Hangover,tt1119646
The Greatest Showman,tt1485796
Lucy,tt2872732
Bumblebee,tt4701182
The Matrix,tt0133093
Star Trek Into Darkness,tt1408101
Gladiator,tt0172495
Pretty Woman,tt0100405
Gladiator II,tt9218128
Cars,tt0317219
The Eight Hundred,tt7294150
X-Men: The Last Stand,tt0376994
Moon Man,tt14557302
National Treasure: Book of Secrets,tt0465234
Mission: Impossible,tt0117060
300,tt0416449
The Last Samurai,tt0325710
Beetlejuice Beetlejuice,tt2049403
Beauty and the Beast,tt0101414
Dying to Survive,tt7362036
Ocean's Eleven,tt0240772
"My People, My Country",tt10147382
Pokémon: Detective Pikachu,tt5884052
Thor,tt0800369
Pearl Harbor,tt0213149
Tarzan,tt0120855
1917,tt8579674
Men in Black II,tt0120912
The Mummy Returns,tt0209163
Alvin and the Chipmunks: The Squeakquel,tt1231580
The Bourne Ultimatum,tt0440963
Les Misérables,tt1707386
Transformers: Rise of the Beasts,tt5090568
Mrs. Doubtfire,tt0107614
Terminator Genisys,tt1340138
John Wick: Chapter 4,tt10366206
Aquaman and the Lost Kingdom,tt9663764
Warcraft,tt0803096
A Star Is Born,tt1517451
Yolo,tt28151876
Terminator 3: Rise of the Machines,tt0181852
Shang-Chi and the Legend of the Ten Rings,tt9376612
Die Another Day,tt0246460
The Secret Life of Pets 2,tt5113040
The Exorcist,tt0070047
Cast Away,tt0162222
Rampage,tt2231461
The Matrix Revolutions,tt0242653
The Intouchables,tt1675434
Bad Boys for Life,tt1502397
Django Unchained,tt1853728
Dances with Wolves,tt0099348
Pegasus 2,tt30829309
"My People, My Homeland",tt12363162
Successor,tt32613601
The Chronicles of Narnia: Prince Caspian,tt0499448
Sex and the City,tt1000774
The Captain,tt10218664
The Mummy,tt0120616
The Chronicles of Narnia: The Voyage of the Dawn Treader,tt0980970
Jason Bourne,tt4196776
The Wolverine,tt1430132
Kingsman: The Secret Service,tt2802144
Night at the Museum: Battle of the Smithsonian,tt1078912
Batman,tt0096895
The Bodyguard,tt0103855
Pacific Rim,tt1663662
Kingsman: The Golden Circle,tt4649466
Dune: Part One,tt1160419
TRON: Legacy,tt1104001
The Mummy,tt2345759
Ice Age: Collision Course,tt3416828
Twilight,tt1099212
Sing 2,tt6467266
Signs,tt0286106
X2: X-Men United,tt0290334
Fantastic Beasts: The Secrets of Dumbledore,tt4123432
Uncharted,tt1464335
The Wolf of Wall Street,tt0993846
Sonic the Hedgehog 2,tt12412888
Your Name.,tt5311514
Alita: Battle Angel,tt0437086
Bad Boys: Ride or Die,tt4919268
The Mummy: Tomb of the Dragon Emperor,tt0859163
Prometheus,tt1446714
Gone with the Wind,tt0031381
Eternals,tt9032400
Mission: Impossible III,tt0317919
Meg 2: The Trench,tt9224104
Kingdom of the Planet of the Apes,tt11389872
Snow White and the Huntsman,tt1735898
Grease,tt0077631
Mamma Mia! Here We Go Again,tt6911608
Toy Story,tt0114709
Spider-Man: Into the Spider-Verse,tt4633694
Black Adam,tt6443346
Solo: A Star Wars Story,tt3778644
Once Upon a Time... in Hollywood,tt7131622
Superman Returns,tt0348150
Robin Hood: Prince of Thieves,tt0102798
Raiders of the Lost Ark,tt0082971
Independence Day: Resurgence,tt1628841
Live Free or Die Hard,tt0337978
Godzilla: King of the Monsters,tt3741700
Monster Hunt,tt3781476
Home,tt2224026
Star Trek,tt0796366
Back to the Future,tt0088763
Happy Feet,tt0366548
Indiana Jones and the Dial of Destiny,tt1462764
Cars 3,tt3606752
Ice Age,tt0268380
Fifty Shades Darker,tt4465564
Monsters vs. Aliens,tt0892782
Mad Max: Fury Road,tt1392190
Black Widow,tt3480822
Godzilla,tt0120685
True Lies,tt0111503
Slumdog Millionaire,tt1010048
Edge of Tomorrow,tt1631867
Taken 2,tt1397280
G.I. Joe: Retaliation,tt1583421
Batman Begins,tt0372784
Shark Tale,tt0307453
What Women Want,tt0207201
The Adventures of Tintin,tt0983193
Penguins of Madagascar,tt1911658
X-Men Origins: Wolverine,tt0458525
Creation of the Gods I: Kingdom of Storms,tt6979756
Twisters,tt12584954
The Golden Compass,tt0385752
Fifty Shades Freed,tt4477536
Hitch,tt0386588
Terminator Salvation,tt0438488
Gone Girl,tt2267998
Captain America: The First Avenger,tt0458339
There's Something About Mary,tt0129387
The Fugitive,tt0106977
Jurassic Park III,tt0163025
My Big Fat Greek Wedding,tt0259446
Shazam!,tt0448115
Hello Mr. Billionaire,tt8529186
Die Hard with a Vengeance,tt0112864
The Nun,tt5814060
Alvin and the Chipmunks,tt0952640
Tenet,tt6723592
Notting Hill,tt0125439
A Bug's Life,tt0120623
Night at the Museum: Secret of the Tomb,tt2692250
Ocean's Twelve,tt0349903
Mary Poppins Returns,tt5028340
Planet of the Apes,tt0133152
The Hangover Part III,tt1951261
The World Is Not Enough,tt0143145
Monster Hunt 2,tt6170484
Fast & Furious,tt1013752
Noah,tt1959490
The Karate Kid,tt1155076
Home Alone 2: Lost in New York,tt0104431
Spirited Away,tt0245429
Hotel Transylvania,tt0837562
Minority Report,tt0181689
Top Gun,tt0092099
The Legend of Tarzan,tt0918940
American Beauty,tt0169547
Apollo 13,tt0112384
Rain Man,tt0095953
The Great Gatsby,tt1343092
