Title,IMDb ID
 Memento,tt0209144
 Apocalypse Now,tt0078788
 Das Leben der Anderen,tt0405094
 Incendies,tt1255953
 Vertigo,tt0052357
 Citizen Kane,tt0033467
 Prisoners,tt1392214
 Shutter Island,tt1130884
 The Sixth Sense,tt0167404
 L,tt0119488
 Forrest Gump,tt0109830
 Casablanca,tt0034583
 Nuovo Cinema Paradiso,tt0095765
 Eternal Sunshine of the Spotless Mind,tt0338013
 Good Will Hunting,tt0119217
 Gone with the Wind,tt0031381
 El secreto de sus ojos,tt1305806
 Ah-ga-ssi,tt4016934
 Before Sunrise,tt0112471
 Fa yeung nin wah,tt0118694
 Portrait de la jeune fille en feu,tt8613070
 Before Sunset,tt0381681
 Rebecca,tt0032976
 Rocky,tt0075148
 Warrior,tt1291584
 Million Dollar Baby,tt0405159
 Cinderella Man,tt0352248
 The Wrestler,tt1125849
 Remember the Titans,tt0210945
 The Sandlot,tt0108037
 The Fighter,tt0964517
 Wreck-It Ralph,tt1772341
 The Iron Claw,tt21064584
 The Blind Side,tt0878804
 Moneyball,tt1210166
 Creed,tt3076658
 The Hurricane,tt0174856
 42,tt0453562
" I, Tonya",tt5580036
 King Richard,tt9620288
 Field of Dreams,tt0097351
 Air,tt16419074
 Green Street,tt0385002
 Gisaengchung,tt6751668
 Idi i smotri,tt0091251
 Saving Private Ryan,tt0120815
 Das Boot,tt0082096
 Paths of Glory,tt0050825
 1917,tt8579674
 Full Metal Jacket,tt0093058
 The Great Escape,tt0057115
 Ran,tt0089881
 Dag II,tt5813916
 C'era una volta il West,tt0064116
 Unforgiven,tt0105695
 Per qualche dollaro in più,tt0059578
 The Treasure of the Sierra Madre,tt0040897
 The Gold Rush,tt0015864
 The Revenant,tt1663202
 Dances with Wolves,tt0099348
 Butch Cassidy and the Sundance Kid,tt0064115
 Per un pugno di dollari,tt0058461
 High Noon,tt0044706
 The Hateful Eight,tt3460252
 Wind River,tt5362988
 Blazing Saddles,tt0071230
 The Magnificent Seven,tt0054047
 Killers of the Flower Moon,tt5537002
 Hell or High Water,tt2582782
 The Last of the Mohicans,tt0104691
 True Grit,tt1403865
 3:10 to Yuma,tt0381849
 Legends of the Fall,tt0110322
 Back to the Future Part III,tt0099088
 The Assassination of Jesse James by the Coward Robert Ford,tt0443680
 Batman Begins,tt0372784
 The Avengers,tt0848228
 Avatar,tt0499549
 Guardians of the Galaxy,tt2015381
 Kill Bill: Vol,tt0266697
 V for Vendetta,tt0434409
 Deadpool,tt1431045
 Iron Man,tt0371746
 Mad Max: Fury Road,tt1392190
 The Hunger Games,tt1392170
 Shrek,tt0126029
 Frozen,tt2294629
 Toy Story 2,tt0120363
 Despicable Me,tt1323594
 Zootopia,tt2948356
 Kung Fu Panda,tt0441773
