Movie Year,Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,is_english,actor_popularity,writer_popularity,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2003,201,381878219,9.0,94,94,2044929,12,Winter,1,8,1,19,14,4,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,129,391283774,7.4,91,69,586806,7,Summer,0,3,1,29,24,3,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,123,426829839,6.8,79,64,628362,3,Spring,0,4,1,25,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,154,352390543,6.2,35,42,441275,6,Summer,0,13,1,10,8,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,164,448149584,8.4,87,78,1875652,7,Summer,0,12,1,30,15,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,143,304360277,7.8,92,81,745160,11,Fall,1,6,1,17,17,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,165,245439076,5.6,18,32,337717,6,Summer,0,13,1,16,8,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1993,127,407185075,8.2,91,68,1104676,6,Summer,0,27,1,11,18,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,128,355559216,6.9,57,53,299628,5,Spring,0,10,1,26,4,2,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,122,335477657,8.3,68,59,1577608,10,Fall,0,9,1,23,7,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,141,515202542,6.4,51,53,508073,12,Winter,1,6,1,8,9,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,100,434038008,7.6,97,84,292487,6,Summer,0,2,1,33,13,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,103,415004880,8.3,98,92,921155,6,Summer,0,2,1,37,13,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,151,423315812,7.4,53,53,787340,7,Summer,0,9,1,35,19,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,133,533539991,7.8,84,65,704792,12,Winter,1,3,1,4,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024,100,450570191,6.9,61,58,69613,11,Fall,1,3,1,11,4,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
