Movie Runtime,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,actor_popularity,writer_popularity,is_english,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
0.2607142857142857,0.6666666666666669,0.91,0.6136363636363636,0.2209826922701756,12,3,1,-0.8897134419060989,-0.9749849166782112,-0.6697467631337394,1,0.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2642857142857142,0.8400000000000002,0.64,0.7613636363636364,1.248808976457725,11,0,1,0.2512427322891961,1.0689824377857386,-0.6697467631337394,1,0.5000000000000001,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2535714285714285,0.44,0.64,0.5113636363636364,-0.5150084048732723,10,0,0,-0.6615222070670399,-0.5661914457854211,-1.1572866603889893,1,0.0,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1964285714285714,0.6800000000000002,0.52,0.4886363636363636,-0.0530610968322414,11,0,1,2.3049638458407267,1.988767747294516,-0.6697467631337394,1,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1964285714285714,0.8400000000000002,0.96,0.8863636363636364,-0.2379674210817018,2,3,0,-0.6615222070670399,-1.0771832844014086,-0.9135167117613644,1,0.3,0.1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1928571428571428,0.6666666666666669,0.54,0.3977272727272727,-0.1286304257412789,9,0,0,0.2512427322891961,0.6601889668929487,0.3053330313767604,1,0.2,0.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2892857142857142,0.7066666666666669,0.8,0.5113636363636364,0.0801853764846195,6,2,0,-0.8897134419060989,-0.3617947103390262,-0.4259768145061144,1,0.3,0.7000000000000001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2499999999999999,0.7866666666666667,0.93,0.6590909090909092,-0.0456878515235644,11,0,1,-0.6615222070670399,-0.2595963426158287,1.0366428772596352,1,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2107142857142857,0.5866666666666668,0.25,0.2272727272727273,-0.1686882706691918,6,2,0,-0.4333309722279809,2.601957953633701,-0.4259768145061144,1,0.3,0.4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1857142857142857,0.6800000000000002,0.78,0.5454545454545455,0.2514312060575338,6,2,0,1.62039014132355,0.7623873346161462,-0.1822068658784895,1,0.1,0.2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3285714285714285,0.6800000000000002,0.64,0.5909090909090909,-3.463879642105481,7,2,0,0.2512427322891961,-0.0551996071694337,-0.1822068658784895,0,0.1,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2321428571428571,0.5333333333333334,0.27,0.3181818181818182,0.6338757899200254,7,2,0,0.2512427322891961,-0.2595963426158287,3.23057241490826,1,0.0,0.1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2142857142857142,0.7200000000000001,0.59,0.5795454545454546,0.0327277234101846,10,0,0,-0.2051397373889219,-0.3617947103390262,-0.1822068658784895,1,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2464285714285714,0.5066666666666668,0.25,0.2727272727272727,-0.213969395451839,7,2,0,1.8485813761626089,-0.3617947103390262,1.2804128258872602,1,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1642857142857142,0.4666666666666668,0.23,0.2840909090909091,-1.742575781280646,12,3,1,-0.6615222070670399,-0.9749849166782112,-0.4259768145061144,1,0.0,0.3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2321428571428571,0.8133333333333336,0.92,0.9318181818181818,1.1815797347590384,7,2,0,1.62039014132355,-0.9749849166782112,0.0615630827491354,1,0.2,0.3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1928571428571428,0.7333333333333335,0.92,0.75,0.5744431610926574,11,0,1,0.2512427322891961,-0.6683898135086187,2.011722671770135,1,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1821428571428571,0.6400000000000001,0.33,0.3181818181818182,-0.2112346399112166,10,0,0,-0.8897134419060989,-0.7705881812318162,1.0366428772596352,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4035714285714284,0.6133333333333335,0.64,0.5454545454545455,-2.8958878257283467,10,0,0,0.707625201967314,-0.3617947103390262,0.5491029800043853,1,0.3,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
